Producto,URL,Precio
"! nuevo! Lenovo 15.6"" Negro para Laptop 4GB Ram 500GB HDD Windows 10 Dvdrw Hdmi",https://www.ebay.com/itm/New-Lenovo-15-6-Black-Laptop-4GB-RAM-500GB-HDD-Windows-10-DVDRW-HDMI/283397470025?epid=7030526909&hash=item41fbce3749:g:RigAAOSwm79cdew7,USD259.90
"00cc 14"" portátil Notebook Computer Quad-Core Bluetooth 4.0 win10 Wireless 2018",https://www.ebay.com/itm/00CC-14-Laptop-Notebook-Computer-Quad-Core-Bluetooth4-0-Win10-WIRELESS-2018/263995546431?hash=item3d775c5b3f:m:mQsav84aCZE5mDusb1KKIzA,USD2.27 a USD217.56
Getac B300-X Resistente Core i7 2GHz 4GB Ram Teclado Iluminado Laptop Notebook B300X,https://www.ebay.com/itm/Getac-B300-X-Rugged-Core-i7-2GHz-4GB-RAM-Backlit-Keyboard-Laptop-Notebook-B300X/323548579508?epid=16029953974&hash=item4b54ff86b4:g:5dYAAOSwO0Ra6jBg,USD159.99
"ANUNCIO NUEVOPC NOTEBOOK PORTÁTIL HP 2570P i5 WIN 10 PRO 12,5"" 4 GB 320 GB WIFI WEBCAM",https://www.ebay.com/itm/PC-NOTEBOOK-PORTATIL-HP-2570P-i5-WIN-10-PRO-12-5-4-GB-320-GB-WIFI-WEBCAM/283422381118?epid=4029933875&hash=item41fd4a543e:g:o-MAAOSwpztcj8tB,USD262.49
"ANUNCIO NUEVOLaptop Apple Macbook Pro 15""",https://www.ebay.com/itm/Apple-MacBook-Pro-15-laptop/113691028920?hash=item1a78836db8:g:IfYAAOSwTmpckAw9,USD141.75
"Xiaomi mi notebook pro 15,6"" win 10 Intel 8gb/16gb + 256 gbssd portátil LCD 1mp USB",https://www.ebay.com/itm/Xiaomi-Mi-Notebook-Pro-15-6-Win-10-Intel-8GB-16GB-256GBSSD-Laptop-LCD-1MP-USB/302861894580?hash=item4683f9c3b4:m:mdrnBkXHBBPGjDDaDGcwReg,USD1 330.79
"ANUNCIO NUEVODell Latitude 7280 12.5"" in Computadora Portátil i5-7300U 2.6GHz 16GB 256GB SSD Win 10 LTE Sim",https://www.ebay.com/itm/Dell-Latitude-7280-12-5-Laptop-i5-7300U-2-6GHz-16GB-256GB-SSD-Win-10-LTE-Sim/362589726490?hash=item546c08271a:g:hHEAAOSw67Zcj~Uk,USD350.00
ANUNCIO NUEVOComputadora portátil con Windows 10 Intel portátil de 14.0 Pulgadas de entrega rápida DHL SSD,https://www.ebay.com/itm/Laptop-Computer-With-Windows-10-Intel-Notebook-14-0-Inch-Fast-Delivery-DHL-SSD/273767704447?hash=item3fbdd3a77f:g:8QsAAOSwLgFcj~uG,USD448.89
"COMPUTER PORTATILE NOTEBOOK HP 2560P i5 12,5” WINDOWS 10 4GB 250GB BLUETOOTH-",https://www.ebay.com/itm/COMPUTER-PORTATILE-NOTEBOOK-HP-2560P-i5-12-5-WINDOWS-10-4GB-250GB-BLUETOOTH/223011585841?epid=4030368920&hash=item33ec86bf31:g:HbgAAOSwTIlcj8uP,USD208.68
"ANUNCIO NUEVOPC NOTEBOOK PORTÁTIL HP 2170P i5 WIN 10 PRO 11,6"" 4 GB RAM 250 GB USB 3.0",https://www.ebay.com/itm/PC-NOTEBOOK-PORTATIL-HP-2170P-i5-WIN-10-PRO-11-6-4-GB-RAM-250-GB-USB-3-0/273767779313?hash=item3fbdd4cbf1:g:gvMAAOSwdeFcj8tS,USD284.94
"Pantalla Táctil Resistente Dell Latitude 14-Core I5, laptop reforzada Industrial",https://www.ebay.com/itm/Touchscreen-Dell-Latitude-14-Rugged-Core-I5-Rugged-Industrial-Laptop/273476256001?hash=item3fac748101:m:mczTnxro_0IpMgdpe5jiYaw,USD804.00 a USD993.60
"Xiaomi mi portátil por 15,6"" 16:9 win10 Intel i7-8550u i5-8250u 8/16+256g portátil",https://www.ebay.com/itm/Xiaomi-Mi-Notebook-Pro-15-6-16-9-Win10-Intel-i7-8550U-i5-8250U-8-16-256G-Laptop/283128101011?epid=20028611508&hash=item41ebbff893:m:m7rj8C6v1e5tAv68ssdbWXQ,USD1 355.71
Predator Helios 300 PH315-51 i7 6 core 16GB GeForce GTX 1050 Ti 1TB + SSD 128GB,https://www.ebay.com/itm/Predator-Helios-300-PH315-51-i7-6-core-16GB-GeForce-GTX-1050-Ti-1TB-SSD-128GB/401729018878?hash=item5d88ea5bfe:g:7z4AAOSwzlRce~dp,USD792.82
ANUNCIO NUEVODell Latitude e6230 portátil-Intel Core i5-3320m - 8gb RAM 320gb HDD-HDMI win,https://www.ebay.com/itm/Dell-Latitude-E6230-Laptop-Intel-Core-i5-3320M-8GB-RAM-320GB-HDD-HDMI-Win/254168577417?hash=item3b2da0b589:g:WBsAAOSww4Jcj7iY,USD203.87
"Lenovo ThinkPad X230 Intel i5-3340M 8GB Ram 128GB Ssd Windows 7 12,5 in Notebook",https://www.ebay.com/itm/Lenovo-Thinkpad-X230-Intel-i5-3340M-8GB-RAM-128GB-SSD-Windows7-12-5-in-Notebook/283312293371?hash=item41f6ba85fb:g:Ao8AAOSw1qhcHwxZ,USD252.25
"Pantalla Táctil! Panasonic Toughbook CF53-i5-4310U, SSD, Laptop Portátil De Campo",https://www.ebay.com/itm/Touchscreen-Panasonic-Toughbook-CF53-i5-4310U-SSD-Portable-Field-Laptop/273251415845?hash=item3f9f0db725:m:mNLjxymC5AE--ycMz8HVESw,USD956.12 a USD1 519.24
"Dell Latitude 11.6"" Pantalla Táctil 2 en 1 Computadora portátil tablet Quad Core 4GB Ram 128GB SSD",https://www.ebay.com/itm/Dell-Latitude-11-6-Touchscreen-2-in-1-Tablet-Quad-Core-Laptop-4GB-RAM-128GB-SSD/302556604110?hash=item4671c766ce:g:d0oAAOSw8mtcXK25,USD331.90
"Acer Predator Helios 300 15.6"" FHD computadora portátil de videojuegos i7-8750H 16GB 256GB GTX 1060",https://www.ebay.com/itm/Acer-Predator-Helios-300-15-6-FHD-Gaming-Laptop-i7-8750H-16GB-256GB-GTX-1060/113367081502?epid=8021969251&hash=item1a6534621e:g:UgcAAOSwuNNb6O9j,USD1 189.49
Dell Inspiron 5720 17R Laptop Core i3-3110M 2.4GHz 17 pulgadas 5TB Win10 Office 365,https://www.ebay.com/itm/Dell-Inspiron-5720-17R-Laptop-Core-i3-3110M-2-4GHz-17inch-Win10-Office365-5TB/323721734436?hash=item4b5f51a924:g:NtsAAOSw9xJcTEep,USD197.82
"ANUNCIO NUEVOORDINATEUR PORTABLE HP 2570P i5 VICTOIRE 10 PRO 12,5"" 4 GO 320GO WIFI WEBCAM",https://www.ebay.com/itm/ORDINATEUR-PORTABLE-HP-2570P-i5-VICTOIRE-10-PRO-12-5-4-GO-320GO-WIFI-WEBCAM/293013222643?hash=item4438f2f4f3:g:o-MAAOSwpztcj8tB,USD262.49
ANUNCIO NUEVODell Latitude e6230 portátil-Intel Core i5-3320m - 8gb RAM 128gb SSD-HDMI win7,https://www.ebay.com/itm/Dell-Latitude-E6230-Laptop-Intel-Core-i5-3320M-8GB-RAM-128GB-SSD-HDMI-Win7/254168541889?hash=item3b2da02ac1:g:5msAAOSwh8tcj6-X,USD236.71
"ANUNCIO NUEVOLaptop Dell Xps 13-9370 i5-8250U,8GB,256GB nvme, el teclado iluminado, 13"" 1080p FHD",https://www.ebay.com/itm/Dell-XPS-13-9370-Laptop-i5-8250U-8GB-256GB-NVMe-Backlit-KB-13-1080p-FHD/123696996091?hash=item1cccea5efb:g:7GsAAOSw5LRcj6Y7,USD1 060.79
"ANUNCIO NUEVO7"" GPD Pocket 2 mini soportable portátil PCUM Windows 10 m3-8100y RAM 8gb+rom 128gb",https://www.ebay.com/itm/7-GPD-Pocket-2-Mini-Tragbar-Laptop-UMPC-Windows-10-m3-8100y-RAM-8GB-ROM-128GB/123696686495?hash=item1ccce5a59f:g:f1wAAOSwrMhcjzPq,USD838.10
"Everki EKP128 14"" serie Premium Compacto Checkpoint amigable Portátil Mochila",https://www.ebay.com/itm/EVERKI-EKP128-14-SUITE-PREMIUM-COMPACT-CHECKPOINT-FRIENDLY-LAPTOP-BACKPACK/183454147930?epid=5008010874&hash=item2ab6b8255a:g:OpMAAOSw6FZbqs5Y,USD198.34
"Yepo portátil Intel Quad Core 15.6"" Notebook 4gb RAM + 64gb Roma USB para Windows 10",https://www.ebay.com/itm/YEPO-Laptop-Intel-Quad-Core-15-6-Notebook-4GB-RAM-64GB-ROM-USB-fur-Windows-10/292851803711?hash=item442f53e63f:g:XecAAOSwq6VcCPjf,USD231.33
ANUNCIO NUEVODell Latitude e6230 portátil-Intel Core i5-3320m - 8gb RAM 256gb SSD-HDMI win,https://www.ebay.com/itm/Dell-Latitude-E6230-Laptop-Intel-Core-i5-3320M-8GB-RAM-256GB-SSD-HDMI-Win/254168530557?hash=item3b2d9ffe7d:g:2l4AAOSwAwxcj6tP,USD270.69
"Dell G3 15 3579 15.6"" FHD computadora portátil de videojuegos i5-8300H 8GB 1TB unidad de disco duro híbrido GTX1050 Nuevo",https://www.ebay.com/itm/Dell-G3-15-3579-15-6-FHD-Gaming-Laptop-i5-8300H-8GB-1TB-Hybrid-HDD-GTX1050-NEW/302982788676?epid=245257739&hash=item468b2e7644:g:ubIAAOSwGIZcTJWf,USD687.21
"XIAOMI Mi Notebook Pro 15.6"" Computadora Portátil Win 10 Intel i7 Dual Wifi 8000mAh 16G+256GB",https://www.ebay.com/itm/Xiaomi-Mi-Notebook-Pro-15-6-Laptop-Win-10-Intel-i7-Dual-WiFi-8000mAh-16G-256GB/401576158055?hash=item5d7fcde367:m:mrKBX16t8aIKZAx8asiVLxA,USD729.99 a USD1 495.99
ANUNCIO NUEVODell Latitude e6230 portátil-Intel Core i5-3320m - 16gb RAM 256gb SSD-HDMI win,https://www.ebay.com/itm/Dell-Latitude-E6230-Laptop-Intel-Core-i5-3320M-16GB-RAM-256GB-SSD-HDMI-Win/254168510102?hash=item3b2d9fae96:g:ZKUAAOSw9-hcj6kl,USD327.32
Buena Calidad Computadora PC Laptop de 15.6 pulgadas 10 Intel Quad Core Portátil Plata Nuevo,https://www.ebay.com/itm/Good-quality-computer-PC-laptop-15-6-inch-10-Intel-Quad-core-notebook-silver-new/273469098450?hash=item3fac0749d2:m:mE5QpJ-WSo6b_24T4-cWIyg,USD267.80
DELL Latitude 12 7275 2in1 Intel CORE hasta M5-6Y57 2.8Ghz 256GB M.2 SSD 8GB Win10,https://www.ebay.com/itm/DELL-Latitude-12-7275-2in1-Intel-CORE-M5-6Y57-up-2-8Ghz-256GB-M-2-SSD-8GB-Win10/123600683541?hash=item1cc72cc215:g:QRMAAOSwxtVcQdRR,USD398.23
"Nuevo Acer Swift 3 SF315-41G-R6MP Laptop Notebook 15.6"" FHD Amd ryzen 7 8GB 256GB",https://www.ebay.com/itm/NEW-Acer-Swift-3-SF315-41G-R6MP-Laptop-Notebook-15-6-FHD-AMD-Ryzen-7-8GB-256GB/382842164251?epid=15026552661&hash=item59232bd41b:g:1lEAAOSwwkRcAB9N,USD689.00
"Custom build portatil HP EliteBook 820 g1 Intel i5-4300u SSD HDD 12,5 pulgadas webcam",https://www.ebay.com/itm/Custom-Build-Laptop-HP-Elitebook-820-G1-Intel-i5-4300U-SSD-HDD-12-5-Zoll-Webcam/253642597268?hash=item3b0e46e394:m:maJ7Dz5EhRmUoDknJ8NugbA,USD248.04 a USD537.99
"ANUNCIO NUEVOGPD Bolsillo 2 Pantalla Táctil 7"" Windows 10 Mini Portátil Laptop PC Ultra Móvil Tablet PC8G/128",https://www.ebay.com/itm/GPD-Pocket-2-7-Touch-Screen-Windows-10-Mini-Portable-Laptop-UMPC-Tablet-PC8G-128/113690644071?hash=item1a787d8e67:g:~UMAAOSwWylcj6u~,USD688.00
HP Elite x2 1011 G1 teclado de alimentación * QWERTZ *,https://www.ebay.com/itm/HP-Elite-x2-1011-G1-Power-Keyboard-QWERTZ/263387278519?epid=3011426261&hash=item3d531aecb7:g:WikAAOSwQTNaMkdZ,USD99.99
"ANUNCIO NUEVOHP EliteBook 840 G3 14.0"" Computadora portátil | 2.40GHz Dual Core i5-i5-6300U | 8gb DDR3",https://www.ebay.com/itm/HP-EliteBook-840-G3-14-0-Laptop-2-40GHz-Dual-Core-i5-i5-6300U-8gb-DDR3/382848337309?epid=224777634&hash=item59238a059d:g:io8AAOSwoSNcj-Jl,USD259.93
"ANUNCIO NUEVOHP Probook 640 G1 14.0"" Computadora portátil | 2.70GHz Dual Core i5 4310M | 8gb DDR3",https://www.ebay.com/itm/HP-Probook-640-G1-14-0-Laptop-2-70GHz-Dual-Core-i5-4310M-8gb-DDR3/312533949343?epid=172962776&hash=item48c4799b9f:g:bwEAAOSwWXhcj~oT,USD169.99
"Lenovo ThinkPad x230 Intel i5 3rd gen 4gb RAM 320gb HDD Windows 7 + adaptador 12,5",https://www.ebay.com/itm/Lenovo-Thinkpad-X230-Intel-i5-3rd-Gen-4GB-RAM-320GB-HDD-Windows7-adapter-12-5/253565218402?hash=item3b09aa2e62:g:3twAAOSwjfdcHRrf,USD169.89
"ANUNCIO NUEVODell Latitude E5440 14.0"" Computadora portátil | 2.1GHz Dual Core i7-4600U | 4gb DDR3 | Dvd-rw",https://www.ebay.com/itm/Dell-Latitude-E5440-14-0-Laptop-2-1GHz-Dual-Core-i7-4600U-4gb-DDR3-DVD-RW/382848335751?hash=item592389ff87:g:pyEAAOSwyhVcj-IX,USD259.99
"7"" pulgadas Netbook Computadora portátil desarrollado por Android 5.1, Hdmi, Cámara, 1gb Ram, 8gb ROM, Wifi",https://www.ebay.com/itm/7-Inch-Netbook-Laptop-Powered-by-Android-5-1-HDMI-Camera-1gb-Ram-8gb-Rom-Wifi/253710963691?hash=item3b125a13eb:m:mMo0f8VK5mmFAfDVleBdFTA,USD90.27
"ANUNCIO NUEVONuevo 2018 Lenovo Yoga 730 2 en 1 15.6"" FHD in-plane conmutación Pantalla táctil Laptop Intel i7-8550U",https://www.ebay.com/itm/New-2018-Lenovo-Yoga-730-2-in-1-15-6-FHD-IPS-Touch-Screen-Laptop-Intel-i7-8550U/113691003711?epid=6024812155&hash=item1a78830b3f:g:pQoAAOSw-R5ckAb3,USD719.99
"ANUNCIO NUEVOAORUS Nvidia RTX 2070 16GB 15.6"" computadora portátil para juegos i7-8750H de Intel 15-X9-7UK0250W",https://www.ebay.com/itm/Aorus-NVIDIA-RTX-2070-16GB-15-6-Intel-i7-8750H-Gaming-Laptop-15-X9-7UK0250W/113690725731?hash=item1a787ecd63:g:zg8AAOSwZVpcj8Jw,USD3 166.17
Custom build Dell Latitude e5420 portátil i5-2520m SSD HDD 14 pulgadas win10 docking,https://www.ebay.com/itm/Custom-Build-Dell-Latitude-E5420-Laptop-i5-2520M-SSD-HDD-14-Zoll-Win10-Docking/253812820718?hash=item3b186c4aee:m:mpr48s98dGR8AgSp_bcV_YQ,USD168.76 a USD447.38
"ANUNCIO NUEVODell Latitude E5440 14"" Computadora portátil | 1.90GHz Dual Core i5-4300U | 8gb DDR3 | 320GB",https://www.ebay.com/itm/Dell-Latitude-E5440-14-Laptop-1-90GHz-Dual-Core-i5-4300U-8gb-DDR3-320GB/382848496419?epid=219529272&hash=item59238c7323:g:fTcAAOSw~jpcj~oS,USD181.99
"ANUNCIO NUEVOHP ENVY TouchSmart 15t-j100us. 15.6in (1TB, Intel Core i7 4th Gen., 2.4GHz, 1GB)",https://www.ebay.com/itm/HP-ENVY-TouchSmart-15t-j100us-15-6in-1TB-Intel-Core-i7-4th-Gen-2-4GHz-1GB/283422335980?epid=175260709&hash=item41fd49a3ec:g:j94AAOSwAx9cVyQW,USD340.00
"Custom build portatil HP EliteBook 8460p Intel i7-2620m SSD Windows 14,1 pulgadas",https://www.ebay.com/itm/Custom-Build-Laptop-HP-Elitebook-8460p-Intel-i7-2620M-SSD-Windows-14-1-Zoll/253644508775?hash=item3b0e640e67:m:m0YO8o97gIaKkatFLyn6wRA,USD317.13 a USD605.94
"Hp 255 G6 Laptop15.6"" AMD A6-9225 4gb Ram 1tb HD Dvdrw Freedos - sin Windows OS",https://www.ebay.com/itm/Hp-255-G6-Laptop15-6-AMD-A6-9225-4gb-Ram-1tb-HD-Dvdrw-Freedos-sin-Windows-OS/323718514185?epid=14029919045&hash=item4b5f208609:g:ZUIAAOSwE9hcXemf,USD308.64
14'' LED HD Pantalla Laptop Quad-core Netbook 2G+32G 64-bit para Win10 100-240V,https://www.ebay.com/itm/14-LED-HD-Pantalla-Laptop-Quad-core-Netbook-2G-32G-64-bit-para-Win10-100-240V/173650973915?epid=28029939023&hash=item286e6794db:g:iswAAOSwN5hb872e,USD205.68
Microsoft Pro 6-Core i7 Surface 8650U - 8GB Ram - 256 GB-Negro (LQH-00016),https://www.ebay.com/itm/Microsoft-Surface-Pro-6-Core-i7-8650U-8GB-RAM-256-GB-Black-LQH-00016/333120154435?hash=item4d8f822b43:g:JKEAAOSw4ylcjZzp,USD1 289.00
"ANUNCIO NUEVODell Latitude E6230 12.5"" Computadora portátil | 3.00GHz Dual Core i7-3540M | 4gb DDR3",https://www.ebay.com/itm/Dell-Latitude-E6230-12-5-Laptop-3-00GHz-Dual-Core-i7-3540M-4gb-DDR3/132994106340?epid=129823921&hash=item1ef71103e4:g:LC4AAOSw4LVcj~p3,USD146.99
